Kd_Kecamatan,Kd_Kota,NamaKecamatan,Created_at,Modified_at,Delete_at
1203070,1203,ANGKOLA TIMUR,2022-08-22 10:19:08.316474,,
1203080,1203,ANGKOLA SELATAN,2022-08-22 10:19:08.316474,,
1203090,1203,ANGKOLA  BARAT,2022-08-22 10:19:08.316474,,
1203091,1203,ANGKOLA SANGKUNUR,2022-08-22 10:19:08.316474,,
1203100,1203,BATANG TORU,2022-08-22 10:19:08.316474,,
1203101,1203,MARANCAR,2022-08-22 10:19:08.316474,,
1203102,1203,MUARA BATANG TORU,2022-08-22 10:19:08.316474,,
1203110,1203,SIPIROK,2022-08-22 10:19:08.316474,,
1203120,1203,ARSE,2022-08-22 10:19:08.316474,,
1203160,1203,SAIPAR DOLOK HOLE,2022-08-22 10:19:08.316474,,
1203161,1203,AEK BILAH,2022-08-22 10:19:08.316474,,
1204010,1204,PINANG SORI,2022-08-22 10:19:08.316474,,
1204011,1204,BADIRI,2022-08-22 10:19:08.316474,,
1204020,1204,SIBABANGUN,2022-08-22 10:19:08.316474,,
1204021,1204,LUMUT,2022-08-22 10:19:08.316474,,
1204022,1204,SUKABANGUN,2022-08-22 10:19:08.316474,,
1204030,1204,PANDAN,2022-08-22 10:19:08.316474,,
1204031,1204,TUKKA,2022-08-22 10:19:08.316474,,
1204032,1204,SARUDIK,2022-08-22 10:19:08.316474,,
1204040,1204,TAPIAN NAULI,2022-08-22 10:19:08.316474,,
1204041,1204,SITAHUIS,2022-08-22 10:19:08.316474,,
1204050,1204,KOLANG,2022-08-22 10:19:08.316474,,
1204060,1204,SORKAM,2022-08-22 10:19:08.316474,,
1204061,1204,SORKAM BARAT,2022-08-22 10:19:08.316474,,
1204062,1204,PASARIBU TOBING,2022-08-22 10:19:08.316474,,
1204070,1204,BARUS,2022-08-22 10:19:08.316474,,
1204071,1204,SOSOR GADONG,2022-08-22 10:19:08.316474,,
1204072,1204,ANDAM DEWI,2022-08-22 10:19:08.316474,,
1204073,1204,BARUS UTARA,2022-08-22 10:19:08.316474,,
1204080,1204,MANDUAMAS,2022-08-22 10:19:08.316474,,
1204081,1204,SIRANDORUNG,2022-08-22 10:19:08.316474,,
1205030,1205,PARMONANGAN,2022-08-22 10:19:08.316474,,
1205040,1205,ADIANKOTING,2022-08-22 10:19:08.316474,,
1205050,1205,SIPOHOLON,2022-08-22 10:19:08.316474,,
1205060,1205,TARUTUNG,2022-08-22 10:19:08.316474,,
1205061,1205,SIATAS BARITA,2022-08-22 10:19:08.316474,,
1205070,1205,PAHAE JULU,2022-08-22 10:19:08.316474,,
1205080,1205,PAHAE JAE,2022-08-22 10:19:08.316474,,
1205081,1205,PURBATUA,2022-08-22 10:19:08.316474,,
1205082,1205,SIMANGUMBAN,2022-08-22 10:19:08.316474,,
1205090,1205,PANGARIBUAN,2022-08-22 10:19:08.316474,,
1205100,1205,GAROGA,2022-08-22 10:19:08.316474,,
1205110,1205,SIPAHUTAR,2022-08-22 10:19:08.316474,,
1205120,1205,SIBORONGBORONG,2022-08-22 10:19:08.316474,,
1205130,1205,PAGARAN,2022-08-22 10:19:08.316474,,
1205180,1205,MUARA,2022-08-22 10:19:08.316474,,
1206030,1206,BALIGE,2022-08-22 10:19:08.316474,,
1206031,1206,TAMPAHAN,2022-08-22 10:19:08.316474,,
1206040,1206,LAGUBOTI,2022-08-22 10:19:08.316474,,
1206050,1206,HABINSARAN,2022-08-22 10:19:08.316474,,
1206051,1206,BORBOR,2022-08-22 10:19:08.316474,,
1206052,1206,NASSAU,2022-08-22 10:19:08.316474,,
1206060,1206,SILAEN,2022-08-22 10:19:08.316474,,
1206061,1206,SIGUMPAR,2022-08-22 10:19:08.316474,,
1206070,1206,PORSEA,2022-08-22 10:19:08.316474,,
1206071,1206,PINTU POHAN MERANTI,2022-08-22 10:19:08.316474,,
1206072,1206,SIANTAR NARUMONDA,2022-08-22 10:19:08.316474,,
1206073,1206,PARMAKSIAN,2022-08-22 10:19:08.316474,,
1206080,1206,LUMBAN JULU,2022-08-22 10:19:08.316474,,
1206081,1206,ULUAN,2022-08-22 10:19:08.316474,,
1206082,1206,AJIBATA,2022-08-22 10:19:08.316474,,
1206083,1206,BONATUA LUNASI,2022-08-22 10:19:08.316474,,
1207050,1207,BILAH HULU,2022-08-22 10:19:08.316474,,
1207070,1207,PANGKATAN,2022-08-22 10:19:08.316474,,
1207080,1207,BILAH BARAT,2022-08-22 10:19:08.316474,,
1207130,1207,BILAH HILIR,2022-08-22 10:19:08.316474,,
1207140,1207,PANAI HULU,2022-08-22 10:19:08.316474,,
1207150,1207,PANAI TENGAH,2022-08-22 10:19:08.316474,,
1207160,1207,PANAI HILIR,2022-08-22 10:19:08.316474,,
1207210,1207,RANTAU SELATAN,2022-08-22 10:19:08.316474,,
1207220,1207,RANTAU UTARA,2022-08-22 10:19:08.316474,,
1208010,1208,BANDAR PASIR MANDOGE,2022-08-22 10:19:08.316474,,
1208020,1208,BANDAR PULAU,2022-08-22 10:19:08.316474,,
1208021,1208,AEK SONGSONGAN,2022-08-22 10:19:08.316474,,
1208022,1208,RAHUNING,2022-08-22 10:19:08.316474,,
1208030,1208,PULAU RAKYAT,2022-08-22 10:19:08.316474,,
1208031,1208,AEK KUASAN,2022-08-22 10:19:08.316474,,
